web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,product_review_link,product_review_link-href
"1546973195-537","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=4","Add to CompareAsus Zenfone GO (Black, 16 GB)3.71,019 Ratings & 142 Reviews2 GB RAM | 16 GB ROM |13.97 cm (5.5 inch) HD Display13MP Rear Camera | 5MP Front Camera3000 Battery1 Year₹9,000EMI starting from ₹299/month","https://www.flipkart.com/asus-zenfone-go-black-16-gb/p/itmexwy8hnzggzhp?pid=MOBEXS4ACPQHJGJK&srno=b_4_87&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBEXS4ACPQHJGJKFAPFA9&fm=organic&iid=8e92aa66-cd43-40b3-9793-fc23da494381.MOBEXS4ACPQHJGJK.SEARCH","Asus Zenfone GO (Black, 16 GB)  (2 GB RAM)","₹9,000","4-6 days","3000 Battery","njoysolutions","null","Black","2 GB","16 GB","1 Year","3.7","null","null","null","null","All 142 reviews","https://www.flipkart.com/asus-zenfone-go-black-16-gb/product-reviews/itmexwy8hnzggzhp?pid=MOBEXS4ACPQHJGJK"
"1546973133-526","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=5","Out Of StockAdd to CompareAsus Zenfone 4 (Red, 8 GB)3.928,474 Ratings & 4,498 Reviews1 GB RAM | 8 GB ROM | Expandable Upto 64 GB10.16 cm (4 inch) WVGA Display5MP Rear Camera | 0.3MP Front Camera1600 Lithium BatteryIntel Atom Z2520 Processor with Intel Hyper Threading Technology Processor1 Year for Mobile & 6 Months for Accessories₹4,688EMI starting from ₹156/monthOffersNo Cost EMI","https://www.flipkart.com/asus-zenfone-4-red-8-gb/p/itmeygpv4uxt4gjx?pid=MOBEY2ZC3E945KHF&srno=b_5_98&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBEY2ZC3E945KHFNISQOU&fm=organic&iid=c1d33702-cfd3-4d19-92ec-4f5ebaa20c84.MOBEY2ZC3E945KHF.SEARCH","Asus Zenfone 4 (Red, 8 GB)  (1 GB RAM)","₹4,688","null","1600 Lithium Battery","null","null","Red","1 GB","8 GB","1 Year for Mobile & 6 Months for Accessories","3.9","null","null","null","null","All 4498 reviews","https://www.flipkart.com/asus-zenfone-4-red-8-gb/product-reviews/itmeygpv4uxt4gjx?pid=MOBEY2ZC3E945KHF"
"1546973234-545","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=4","Coming SoonAdd to CompareAsus Zenfone 4 (Red, 8 GB)3.928,474 Ratings & 4,498 Reviews1 GB RAM | 8 GB ROM | Expandable Upto 64 GB11.43 cm (4.5 inch) FWVGA Display8MP Rear Camera | 0.3MP Front Camera1750 Lithium BatteryIntel Atom Z2520 Processor with Intel Hyper Threading Technology Processor1 Year for Mobile & 6 Months for Accessories₹7,499Up to ₹7,350 Off on ExchangeEMI starting from ₹250/monthOffersNo Cost EMI","https://www.flipkart.com/asus-zenfone-4-red-8-gb/p/itmeuyd8dqe79wcm?pid=MOBDXZ9W2TG79YJR&srno=b_4_79&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBDXZ9W2TG79YJRB0VFVC&fm=organic&iid=d33013d9-01c7-402b-a8fe-26aea5d60023.MOBDXZ9W2TG79YJR.SEARCH","Asus Zenfone 4 (Red, 8 GB)  (1 GB RAM)","₹7,499","null","1750 Lithium Battery","Vision Star","4.4","Red","1 GB","8 GB","1 Year for Mobile & 6 Months for Accessories","3.9","null","null","null","null","All 4498 reviews","https://www.flipkart.com/asus-zenfone-4-red-8-gb/product-reviews/itmeuyd8dqe79wcm?pid=MOBDXZ9W2TG79YJR"
"1546973301-555","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=3","Out Of StockAdd to CompareAsus Zenfone Go 5.0 LTE 2nd Gen (Red, 16 GB)3.5357 Ratings & 54 Reviews2 GB RAM | 16 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display13MP Rear Camera | 5MP Front Camera2600 Battery1 Year Manufacturer Warranty₹5,949EMI starting from ₹198/month","https://www.flipkart.com/asus-zenfone-go-5-0-lte-2nd-gen-red-16-gb/p/itmeshbwgwa4ahnf?pid=MOBESHBWHEBGNXY9&srno=b_3_69&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBESHBWHEBGNXY9UMNI1Y&fm=organic&iid=5037e6fa-7de7-42b2-bbf3-acbb56a64ff2.MOBESHBWHEBGNXY9.SEARCH","Asus Zenfone Go 5.0 LTE 2nd Gen (Red, 16 GB)  (2 GB RAM)","₹5,949","null","2600 Battery","null","null","Red","2 GB","16 GB","1 Year Manufacturer Warranty","3.5","null","null","null","null","All 54 reviews","https://www.flipkart.com/asus-zenfone-go-5-0-lte-2nd-gen-red-16-gb/product-reviews/itmeshbwgwa4ahnf?pid=MOBESHBWHEBGNXY9"
"1546973210-540","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=4","Coming SoonAdd to CompareAsus Zenfone 5 A501CG (Gold, 8 GB)4.239,955 Ratings & 8,989 Reviews2 GB RAM | 8 GB ROM | Expandable Upto 64 GB12.7 cm (5 inch) HD Display8MP Rear Camera | 2MP Front Camera2110 Lithium BatteryIntel Atom Z2560 Processor with Intel Hyper Threading Technology Processor1 Year for Mobile & 6 Months for Accessories₹8,499EMI starting from ₹283/monthOffersNo Cost EMI","https://www.flipkart.com/asus-zenfone-5-a501cg-gold-8-gb/p/itmeuydansgfvjtp?pid=MOBDXZ9W7DHYYWEP&srno=b_4_84&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBDXZ9W7DHYYWEPCKFKLU&fm=organic&iid=e95eb0f4-3602-4330-9263-38cf2630672e.MOBDXZ9W7DHYYWEP.SEARCH","Asus Zenfone 5 A501CG (Gold, 8 GB)  (2 GB RAM)","₹8,499","null","2110 Lithium Battery","OmniTechRetail","4.3","Gold","2 GB","8 GB","1 Year for Mobile & 6 Months for Accessories","4.2","4.1","2.4","4.4","null","All 8989 reviews","https://www.flipkart.com/asus-zenfone-5-a501cg-gold-8-gb/product-reviews/itmeuydansgfvjtp?pid=MOBDXZ9W7DHYYWEP"
"1546973221-542","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=4","Add to CompareAsus Zenfone 5 (Red, 8 GB)4.146,104 Ratings & 6,040 Reviews2 GB RAM | 8 GB ROM | Expandable Upto 64 GB12.7 cm (5 inch) HD Display8MP Rear Camera | 2MP Front Camera2110 Lithium BatteryIntel Atom Z2520 Processor with Intel Hyper Threading Technology ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹8,499EMI starting from ₹283/monthOffersNo Cost EMI","https://www.flipkart.com/asus-zenfone-5-red-8-gb/p/itme3wqubzywj3fh?pid=MOBE3HYESSF42WGT&srno=b_4_82&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBE3HYESSF42WGTMBX7SH&fm=organic&iid=1ca1880c-524c-49a1-8782-806aae5d3542.MOBE3HYESSF42WGT.SEARCH","Asus Zenfone 5 (Red, 8 GB)  (2 GB RAM)","₹8,499","4-6 days","2110 Lithium Battery","OmniTechRetail","4.3","Red","2 GB","8 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.1","2.6","4.4","4.3","null","All 6040 reviews","https://www.flipkart.com/asus-zenfone-5-red-8-gb/product-reviews/itme3wqubzywj3fh?pid=MOBE3HYESSF42WGT"
"1546973565-601","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=1","ON OFFERAdd to CompareAsus ZenFone Lite L1 (Gold, 16 GB)4.230,630 Ratings & 4,273 Reviews2 GB RAM | 16 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display13MP Rear Camera | 5MP Front Camera3000 BatteryQualcomm Snapdragon 430 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹4,999₹6,99928% offUp to ₹4,950 Off on ExchangeEMI starting from ₹167/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/asus-zenfone-lite-l1-gold-16-gb/p/itmf9fgsvphshzth?pid=MOBF9FGSGSKUKN5P&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBF9FGSGSKUKN5PRZCMVI&fm=organic&iid=cc84d132-1c85-46a1-aa8c-38fee8b09304.MOBF9FGSGSKUKN5P.SEARCH","Asus ZenFone Lite L1 (Gold, 16 GB)  (2 GB RAM)","₹4,999","Tomorrow, Thursday","3000 Battery","Vision Star","4.4","Gold","2 GB","16 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.2","3.4","3.1","4.1","4.8","All 4273 reviews","https://www.flipkart.com/asus-zenfone-lite-l1-gold-16-gb/product-reviews/itmf9fgsvphshzth?pid=MOBF9FGSGSKUKN5P"
"1546973522-593","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=2","Out Of StockAdd to CompareAsus Zenfone 3 (Black, 32 GB)4.35,118 Ratings & 1,383 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 2 TB13.21 cm (5.2 inch) Full HD Display16MP Rear Camera | 8MP Front Camera2650 BatteryQualcomm Snapdragon 625 64-bit Octa Core 2.0GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹21,999Up to ₹14,900 Off on ExchangeEMI starting from ₹731/monthOffersNo Cost EMI","https://www.flipkart.com/asus-zenfone-3-black-32-gb/p/itmevt7uunbwfcmf?pid=MOBEHCTFTWQDVUE7&srno=b_2_31&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBEHCTFTWQDVUE7Y9JUWG&fm=organic&iid=13d27a9c-20ec-498c-90b9-e5cd7b3621be.MOBEHCTFTWQDVUE7.SEARCH","Asus Zenfone 3 (Black, 32 GB)  (3 GB RAM)","₹21,999","null","2650 Battery","null","null","Black","3 GB","32 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.3","4.6","4.3","4.6","4.6","All 1383 reviews","https://www.flipkart.com/asus-zenfone-3-black-32-gb/product-reviews/itmevt7uunbwfcmf?pid=MOBEHCTFTWQDVUE7"
"1546973451-580","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=2","Out Of StockAdd to CompareAsus Zenfone 5 (Gold, 16 GB)4.146,104 Ratings & 6,040 Reviews2 GB RAM | 16 GB ROM | Expandable Upto 64 GB12.7 cm (5 inch) HD Display8MP Rear Camera | 2MP Front Camera2110 Lithium BatteryIntel Atom Z2560 Processor with Intel Hyper Threading Technology Processor1 Year for Mobile & 6 Months for Accessories₹13,999EMI starting from ₹465/monthOffersNo Cost EMI","https://www.flipkart.com/asus-zenfone-5-gold-16-gb/p/itmeuyd9r2jbrdtf?pid=MOBDXZ9WG3Z5EFT6&srno=b_2_44&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBDXZ9WG3Z5EFT6COVRKH&fm=organic&iid=3b277520-f990-4952-97d6-53748f281ba1.MOBDXZ9WG3Z5EFT6.SEARCH","Asus Zenfone 5 (Gold, 16 GB)  (2 GB RAM)","₹13,999","null","2110 Lithium Battery","null","null","Gold","2 GB","16 GB","1 Year for Mobile & 6 Months for Accessories","4.1","2.6","4.4","4.3","null","All 6040 reviews","https://www.flipkart.com/asus-zenfone-5-gold-16-gb/product-reviews/itmeuyd9r2jbrdtf?pid=MOBDXZ9WG3Z5EFT6"
"1546973536-596","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus&page=2","Add to CompareAsus Zenfone 2 Laser ZE500KL (Black, 16 GB)4.13,516 Ratings & 383 Reviews2 GB RAM | 16 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display13MP Rear Camera | 5MP Front Camera2070 Li-Polymer BatteryQualcomm Snapdragon 410 MSM8916 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹5,999EMI starting from ₹200/month","https://www.flipkart.com/asus-zenfone-2-laser-ze500kl-black-16-gb/p/itme9j58rmfu8hje?pid=MOBE9J58KGKA8JHX&srno=b_2_28&otracker=nmenu_sub_Electronics_0_Asus&lid=LSTMOBE9J58KGKA8JHXZYZOMW&fm=organic&iid=bdd3d2f4-8b05-4693-9325-ef0f84842395.MOBE9J58KGKA8JHX.SEARCH","Asus Zenfone 2 Laser ZE500KL (Black, 16 GB)  (2 GB RAM)","₹5,999","12 Jan, Saturday","2070 Li-Polymer Battery","SHOP2DAY","2.6","Black","2 GB","16 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.1","null","null","null","null","All 383 reviews","https://www.flipkart.com/asus-zenfone-2-laser-ze500kl-black-16-gb/product-reviews/itme9j58rmfu8hje?pid=MOBE9J58KGKA8JHX"
