web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,product_review_link,product_review_link-href
"1546972287-467","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=1","Add to CompareApple iPhone SE (Silver, 32 GB)4.55,610 Ratings & 701 Reviews32 GB ROM |10.16 cm (4 inch) Retina Display12MP Rear Camera | 1.2MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year₹17,890EMI starting from ₹595/month","https://www.flipkart.com/apple-iphone-se-silver-32-gb/p/itmetm9fwstfc2qc?pid=MOBETM93KHC97KAV&srno=b_1_5&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBETM93KHC97KAVLD4LXY&fm=organic&iid=5b0da8bc-6939-43c9-b4b7-4e7d3d096ef6.MOBETM93KHC97KAV.SEARCH","Apple iPhone SE (Silver, 32 GB)","₹17,890","5-6 days","Apple A9 64-bit processor and Embedded M9 Motion Co-processor","CELLMARK","3.7","Silver","null","32 GB","Brand Warranty of 1 Year","4.5","4.5","3.6","4.2","4.7","All 701 reviews","https://www.flipkart.com/apple-iphone-se-silver-32-gb/product-reviews/itmetm9fwstfc2qc?pid=MOBETM93KHC97KAV"
"1546972055-429","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","ON OFFERAdd to CompareApple iPhone 8 Plus (Silver, 256 GB)4.62,850 Ratings & 322 Reviews256 GB ROM |13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year₹79,999₹86,0006% offUp to ₹14,900 Off on ExchangeEMI starting from ₹2658/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/apple-iphone-8-plus-silver-256-gb/p/itmexrgvxatuyrqw?pid=MOBEXRGVGETABXWZ&srno=b_2_43&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBEXRGVGETABXWZJ0ZD9D&fm=organic&iid=cd7598bf-bf17-4495-b58e-c19e87dd8059.MOBEXRGVGETABXWZ.SEARCH","Apple iPhone 8 Plus (Silver, 256 GB)","₹79,999","2 Days, Thursday","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor","SuperComNet","4.5","Silver","null","256 GB","Brand Warranty of 1 Year","4.6","4.8","4.3","4.3","4.2","All 322 reviews","https://www.flipkart.com/apple-iphone-8-plus-silver-256-gb/product-reviews/itmexrgvxatuyrqw?pid=MOBEXRGVGETABXWZ"
"1546972130-439","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","ON OFFERAdd to CompareApple iPhone X (Silver, 256 GB)4.64,269 Ratings & 476 Reviews256 GB ROM |14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year₹1,01,999₹1,05,7203% offUp to ₹14,900 Off on ExchangeEMI starting from ₹3388/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/apple-iphone-x-silver-256-gb/p/itmexrgv4cgmrxxp?pid=MOBEXRGVVTMF9FYV&srno=b_2_33&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBEXRGVVTMF9FYVKHKOAY&fm=organic&iid=8e2be699-03cb-4b96-b432-0828e3a61cf5.MOBEXRGVVTMF9FYV.SEARCH","Apple iPhone X (Silver, 256 GB)","₹1,01,999","6-7 days","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor","SuperComNet","4.5","Silver","null","256 GB","Brand Warranty of 1 Year","4.6","4.7","4.4","4.6","4.0","All 476 reviews","https://www.flipkart.com/apple-iphone-x-silver-256-gb/product-reviews/itmexrgv4cgmrxxp?pid=MOBEXRGVVTMF9FYV"
"1546972022-423","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=3","Add to CompareApple iPhone XS Max (Space Grey, 512 GB)4.7843 Ratings & 118 Reviews512 GB ROM |16.51 cm (6.5 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories₹1,40,000EMI starting from ₹4651/month","https://www.flipkart.com/apple-iphone-xs-max-space-grey-512-gb/p/itmf944edqzffajx?pid=MOBF944EDZYHVJXG&srno=b_3_49&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF944EDZYHVJXGCUW4FV&fm=organic&iid=48104b31-1a9a-4608-af09-7c2bc79a18c1.MOBF944EDZYHVJXG.SEARCH","Apple iPhone XS Max (Space Grey, 512 GB)","₹1,40,000","6-7 days","A12 Bionic Chip Processor","TimeWorld","2.7","Space Grey","null","512 GB","1 Year Limited Warranty for Products and Accessories","4.7","4.4","3.4","4.8","3.7","All 118 reviews","https://www.flipkart.com/apple-iphone-xs-max-space-grey-512-gb/product-reviews/itmf944edqzffajx?pid=MOBF944EDZYHVJXG"
"1546972146-442","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","Add to CompareApple iPhone 7 (Gold, 128 GB)4.5811 Ratings & 124 Reviews128 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year₹56,900EMI starting from ₹1890/month","https://www.flipkart.com/apple-iphone-7-gold-128-gb/p/itmen6da7hw5ykrm?pid=MOBEMK62Z4P8FEQM&srno=b_2_30&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBEMK62Z4P8FEQMRVCFYV&fm=organic&iid=3fb41c32-22ce-4aef-86ab-f956151a8391.MOBEMK62Z4P8FEQM.SEARCH","Apple iPhone 7 (Gold, 128 GB)","₹56,900","4-5 days","Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor","kkkkk888","null","Gold","null","128 GB","Brand Warranty of 1 Year","4.5","null","null","null","null","All 124 reviews","https://www.flipkart.com/apple-iphone-7-gold-128-gb/product-reviews/itmen6da7hw5ykrm?pid=MOBEMK62Z4P8FEQM"
"1546972154-443","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","Add to CompareApple iPhone XR (Blue, 64 GB)4.6173 Ratings & 25 Reviews64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year₹76,900Up to ₹14,900 Off on ExchangeEMI starting from ₹2555/monthOffersNo Cost EMI","https://www.flipkart.com/apple-iphone-xr-blue-64-gb/p/itmf9z7z4dgvug4h?pid=MOBF9Z7ZPZDS7RKH&srno=b_2_29&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF9Z7ZPZDS7RKHAHDXLO&fm=organic&iid=7b2167bb-c9cf-411a-ae20-1b0a5c298c17.MOBF9Z7ZPZDS7RKH.SEARCH","Apple iPhone XR (Blue, 64 GB)","₹76,900","11 Jan, Friday","A12 Bionic Chip Processor","SuperComNet","4.5","Blue","null","64 GB","Brand Warranty of 1 Year","4.6","null","null","null","null","All 25 reviews","https://www.flipkart.com/apple-iphone-xr-blue-64-gb/product-reviews/itmf9z7z4dgvug4h?pid=MOBF9Z7ZPZDS7RKH"
"1546972293-468","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=1","ON OFFERAdd to CompareApple iPhone 6 (Space Grey, 32 GB)4.455,911 Ratings & 6,245 Reviews32 GB ROM |11.94 cm (4.7 inch) Retina HD Display8MP Rear Camera | 1.2MP Front CameraApple A8 64-bit processor and M8 Motion Co-processorBrand Warranty of 1 Year₹22,999₹30,78025% offUp to ₹14,900 Off on ExchangeEMI starting from ₹764/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/apple-iphone-6-space-grey-32-gb/p/itmetmh3hfhnxtcj?pid=MOBETMH3ZYNDPVVC&srno=b_1_4&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBETMH3ZYNDPVVC7BAC1S&fm=organic&iid=3901d7f3-c0e8-4df4-bd66-64c4af8bd2cd.MOBETMH3ZYNDPVVC.SEARCH","Apple iPhone 6 (Space Grey, 32 GB)","₹22,999","12 Jan, Saturday","Apple A8 64-bit processor and M8 Motion Co-processor","SuperComNet","4.5","Space Grey","null","32 GB","Brand Warranty of 1 Year","4.4","3.9","3.0","3.4","4.6","All 6245 reviews","https://www.flipkart.com/apple-iphone-6-space-grey-32-gb/product-reviews/itmetmh3hfhnxtcj?pid=MOBETMH3ZYNDPVVC"
"1546972050-428","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","Add to CompareApple iPhone XS Max (Gold, 512 GB)4.7843 Ratings & 118 Reviews512 GB ROM |16.51 cm (6.5 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories₹1,41,000EMI starting from ₹4684/month","https://www.flipkart.com/apple-iphone-xs-max-gold-512-gb/p/itmf944e6sv4mwye?pid=MOBF944EKEC6UZKA&srno=b_2_44&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF944EKEC6UZKAEENBUM&fm=organic&iid=08aa786a-cc42-4913-a6ff-275ed52e4e0d.MOBF944EKEC6UZKA.SEARCH","Apple iPhone XS Max (Gold, 512 GB)","₹1,41,000","6-7 days","A12 Bionic Chip Processor","CellHaven","3.2","Gold","null","512 GB","1 Year Limited Warranty for Products and Accessories","4.7","4.4","3.4","4.8","3.7","All 118 reviews","https://www.flipkart.com/apple-iphone-xs-max-gold-512-gb/product-reviews/itmf944e6sv4mwye?pid=MOBF944EKEC6UZKA"
"1546972160-444","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","Add to CompareApple iPhone X (Space Gray, 64 GB)4.64,269 Ratings & 476 Reviews64 GB ROM |14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year₹81,000EMI starting from ₹2691/month","https://www.flipkart.com/apple-iphone-x-space-gray-64-gb/p/itmexrgv6hctyrav?pid=MOBEXRGVCMGVCGGQ&srno=b_2_28&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBEXRGVCMGVCGGQLHGFDF&fm=organic&iid=fb86a37e-0fa9-4f2a-86ea-f7463048ecfb.MOBEXRGVCMGVCGGQ.SEARCH","Apple iPhone X (Space Gray, 64 GB)","₹81,000","3-4 days","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor","electronicKing12","2.7","Space Gray","null","64 GB","Brand Warranty of 1 Year","4.6","4.7","4.4","4.6","4.0","All 476 reviews","https://www.flipkart.com/apple-iphone-x-space-gray-64-gb/product-reviews/itmexrgv6hctyrav?pid=MOBEXRGVCMGVCGGQ"
"1546972199-449","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=1","Add to CompareApple iPhone XS (Space Grey, 64 GB)4.6525 Ratings & 77 Reviews64 GB ROM |14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories₹99,900Up to ₹14,900 Off on ExchangeEMI starting from ₹3319/monthOffersNo Cost EMI","https://www.flipkart.com/apple-iphone-xs-space-grey-64-gb/p/itmf944ees7rprte?pid=MOBF944E5FTGHNCR&srno=b_1_23&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF944E5FTGHNCRW8IBDX&fm=organic&iid=ab1a5d13-8bb6-4a18-9350-f684abd18ace.MOBF944E5FTGHNCR.SEARCH","Apple iPhone XS (Space Grey, 64 GB)","₹99,900","2 Days, Thursday","A12 Bionic Chip Processor","SuperComNet","4.5","Space Grey","null","64 GB","1 Year Limited Warranty for Products and Accessories","4.6","null","null","null","null","All 77 reviews","https://www.flipkart.com/apple-iphone-xs-space-grey-64-gb/product-reviews/itmf944ees7rprte?pid=MOBF944E5FTGHNCR"
