web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,product_review_link,product_review_link-href
"1546967252-109","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=3","Out Of StockAdd to CompareRedmi 3S (Gold, 16 GB)4.32,06,956 Ratings & 40,893 Reviews2 GB RAM | 16 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display13MP Rear Camera | 5MP Front Camera4100 Li-Ion Polymer BatteryQualcomm Snapdragon 430 64-bit Octa Core 1.4GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹6,999EMI starting from ₹233/monthOffersNo Cost EMI","https://www.flipkart.com/redmi-3s-gold-16-gb/p/itmehhg5ysv8qv3t?pid=MOBEKWZYYJWG3YVQ&srno=b_3_71&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBEKWZYYJWG3YVQHHN4S0&fm=organic&iid=1c74618a-85f4-438b-a8a9-c7c83c2ea42d.MOBEKWZYYJWG3YVQ.SEARCH","Redmi 3S (Gold, 16 GB)  (2 GB RAM)","₹6,999","null","4100 Li-Ion Polymer Battery","null","null","Gold","2 GB","16 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.3","4.4","4.3","3.9","4.9","All 40893 reviews","https://www.flipkart.com/redmi-3s-gold-16-gb/product-reviews/itmehhg5ysv8qv3t?pid=MOBEKWZYYJWG3YVQ"
"1546967275-113","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=3","Out Of StockAdd to CompareMi 4i (Grey, 32 GB)4.273,333 Ratings & 8,954 Reviews2 GB RAM | 32 GB ROM |12.7 cm (5 inch) Full HD Display13MP Rear Camera | 5MP Front Camera3120 Li-ion Polymer Battery2nd-gen Snapdragon 615 64-bit octa-core ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹14,999EMI starting from ₹499/monthOffersNo Cost EMI","https://www.flipkart.com/mi-4i-grey-32-gb/p/itme9hdkdy43jszb?pid=MOBE9HDJTHTZV6GR&srno=b_3_67&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBE9HDJTHTZV6GRFO34YX&fm=organic&iid=ab6b3db3-50ec-4c5c-8060-3c12faf03469.MOBE9HDJTHTZV6GR.SEARCH","Mi 4i (Grey, 32 GB)  (2 GB RAM)","₹14,999","null","3120 Li-ion Polymer Battery","null","null","Grey","2 GB","32 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.2","4.3","3.3","3.1","4.1","All 8954 reviews","https://www.flipkart.com/mi-4i-grey-32-gb/product-reviews/itme9hdkdy43jszb?pid=MOBE9HDJTHTZV6GR"
"1546967485-160","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1","ON OFFERAdd to CompareRedmi Note 5 Pro (Gold, 64 GB)4.59,50,557 Ratings & 1,08,733 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 128 GB15.21 cm (5.99 inch) Full HD+ Display12MP + 5MP | 20MP Front Camera4000 Li Polymer BatteryQualcomm Snapdragon 636 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹12,999₹14,99913% offUp to ₹12,600 Off on ExchangeEMI starting from ₹432/monthOffersSpecial Price","https://www.flipkart.com/redmi-note-5-pro-gold-64-gb/p/itmf2fc3txmqwdkb?pid=MOBF28FTHZYYGXFY&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBF28FTHZYYGXFYWCJUUS&fm=organic&iid=f0ee9591-7742-44d8-9fef-ddd85bd81de1.MOBF28FTHZYYGXFY.SEARCH","Redmi Note 5 Pro (Gold, 64 GB)  (4 GB RAM)","₹12,999","11 Jan, Friday","4000 Li Polymer Battery","Truenet Commerce","4.9","Gold","4 GB","64 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.5","4.4","4.2","3.9","4.7","All 108733 reviews","https://www.flipkart.com/redmi-note-5-pro-gold-64-gb/product-reviews/itmf2fc3txmqwdkb?pid=MOBF28FTHZYYGXFY"
"1546967425-143","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=2","Add to CompareRedmi 6 Pro (Red, 32 GB)4.4151 Ratings & 15 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB14.83 cm (5.84 inch) FHD+ Display12MP + 5MP | 5MP Front Camera4000 BatteryQualcomm Snapdragon 625 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories₹11,499EMI starting from ₹382/month","https://www.flipkart.com/redmi-6-pro-red-32-gb/p/itmfbh5t77gmhfrp?pid=MOBFBH5TJDMD4GZN&srno=b_2_37&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBFBH5TJDMD4GZNLLWCE5&fm=organic&iid=a6d5c3cf-518d-4a2e-9255-2818fb72e364.MOBFBH5TJDMD4GZN.SEARCH","Redmi 6 Pro (Red, 32 GB)  (3 GB RAM)","₹11,499","null","4000 Battery","null","null","Red","3 GB","32 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories","4.4","null","null","null","null","All 15 reviews","https://www.flipkart.com/redmi-6-pro-red-32-gb/product-reviews/itmfbh5t77gmhfrp?pid=MOBFBH5TJDMD4GZN"
"1546967522-170","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1","ON OFFERAdd to CompareRedmi Note 6 Pro (Blue, 64 GB)4.51,82,608 Ratings & 18,188 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.9 cm (6.26 inch) FHD+ Display12MP + 5MP | 20MP + 2MP Dual Front Camera4000 Li-polymer BatteryQualcomm Snapdragon 636 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹13,999₹15,99912% offUp to ₹13,850 Off on ExchangeEMI starting from ₹465/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/redmi-note-6-pro-blue-64-gb/p/itmfayzxgzxwfvx6?pid=MOBFAJB4RSWTEYJJ&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBFAJB4RSWTEYJJRD4JCG&fm=organic&iid=2583dc83-3ab9-4afb-914d-b09d350bfb3d.MOBFAJB4RSWTEYJJ.SEARCH","Redmi Note 6 Pro (Blue, 64 GB)  (4 GB RAM)","₹13,999","11 Jan, Friday","4000 Li-polymer Battery","Flashstar Commerce","4.8","Blue","4 GB","64 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.5","4.3","3.9","4.0","4.8","All 18188 reviews","https://www.flipkart.com/redmi-note-6-pro-blue-64-gb/product-reviews/itmfayzxgzxwfvx6?pid=MOBFAJB4RSWTEYJJ"
"1546967346-124","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=3","Out Of StockAdd to CompareRedmi Y1 (Rose Gold, 32 GB)4.216,683 Ratings & 1,578 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera | 16MP Front Camera3080 BatteryQualcomm Snapdragon 435 Processor1 Year Manufacturer Warranty₹9,699EMI starting from ₹323/month","https://www.flipkart.com/redmi-y1-rose-gold-32-gb/p/itmf3jybcxhe2vvr?pid=MOBF8ET97TYMZRUA&srno=b_3_56&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBF8ET97TYMZRUAG2QBFS&fm=organic&iid=9ef314ef-65ba-46d4-83a6-84856828e147.MOBF8ET97TYMZRUA.SEARCH","Redmi Y1 (Rose Gold, 32 GB)  (3 GB RAM)","₹9,699","null","3080 Battery","null","null","Rose Gold","3 GB","32 GB","1 Year Manufacturer Warranty","4.2","4.1","2.4","3.1","4.7","All 1578 reviews","https://www.flipkart.com/redmi-y1-rose-gold-32-gb/product-reviews/itmf3jybcxhe2vvr?pid=MOBF8ET97TYMZRUA"
"1546967422-142","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=2","Add to CompareRedmi 6 Pro (Black, 32 GB)4.4151 Ratings & 15 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB14.83 cm (5.84 inch) FHD+ Display12MP + 5MP | 5MP Front Camera4000 BatteryQualcomm Snapdragon 625 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories₹11,499EMI starting from ₹382/month","https://www.flipkart.com/redmi-6-pro-black-32-gb/p/itmfbh5t77gmhfrp?pid=MOBFBH5TEXA3BVDZ&srno=b_2_38&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBFBH5TEXA3BVDZRYLAYQ&fm=organic&iid=50225794-d4c9-4c3d-b8bb-f6491fa58c06.MOBFBH5TEXA3BVDZ.SEARCH","Redmi 6 Pro (Black, 32 GB)  (3 GB RAM)","₹11,499","11 Jan, Friday","4000 Battery","FASHIONADDA92","4.5","Black","3 GB","32 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories","4.4","null","null","null","null","All 15 reviews","https://www.flipkart.com/redmi-6-pro-black-32-gb/product-reviews/itmfbh5t77gmhfrp?pid=MOBFBH5TEXA3BVDZ"
"1546967447-150","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=2","Add to CompareRedmi 5 (Gold, 32 GB)4.34,236 Ratings & 369 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 128 GB14.48 cm (5.7 inch) HD+ Display12MP Rear Camera | 5MP Front Camera3300 BatteryQualcomm Snapdragon 450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹9,999EMI starting from ₹333/month","https://www.flipkart.com/redmi-5-gold-32-gb/p/itmf9gjw8gy9vfv3?pid=MOBF3DHYPPRFYY6X&srno=b_2_30&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBF3DHYPPRFYY6XPETJ7E&fm=organic&iid=410da749-8922-4b2b-a257-fab188f33cf1.MOBF3DHYPPRFYY6X.SEARCH","Redmi 5 (Gold, 32 GB)  (3 GB RAM)","₹9,999","11 Jan, Friday","3300 Battery","FASHIONADDA92","4.5","Gold","3 GB","32 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.3","3.5","3.5","4.5","null","All 369 reviews","https://www.flipkart.com/redmi-5-gold-32-gb/product-reviews/itmf9gjw8gy9vfv3?pid=MOBF3DHYPPRFYY6X"
"1546967301-116","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=3","Out Of StockAdd to CompareRedmi Y2 (Dark Grey, 32 GB)4.41,448 Ratings & 142 Reviews3 GB RAM | 32 GB ROM |15.21 cm (5.99 inch) Display12MP Rear Camera | 16MP Front Camera3080 Battery1 Year Warranty₹10,480EMI starting from ₹349/month","https://www.flipkart.com/redmi-y2-dark-grey-32-gb/p/itmf8fhkpzbq3abf?pid=MOBF8UKHYMJHW3EU&srno=b_3_64&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBF8UKHYMJHW3EU5ZVAMX&fm=organic&iid=faf84c37-20ca-4d5a-b217-014ce5423aba.MOBF8UKHYMJHW3EU.SEARCH","Redmi Y2 (Dark Grey, 32 GB)  (3 GB RAM)","₹10,480","null","3080 Battery","null","null","Dark Grey","3 GB","32 GB","1 Year Warranty","4.4","null","null","null","null","All 142 reviews","https://www.flipkart.com/redmi-y2-dark-grey-32-gb/product-reviews/itmf8fhkpzbq3abf?pid=MOBF8UKHYMJHW3EU"
"1546967496-163","https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1","Add to CompareRedmi 6A (Rose Gold, 32 GB)4.32,713 Ratings & 222 Reviews2 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.84 cm (5.45 inch) HD Display13MP Rear Camera3000 BatteryMediateck Processor1 Year Manufacturer Warranty₹7,785EMI starting from ₹259/month","https://www.flipkart.com/redmi-6a-rose-gold-32-gb/p/itmf9hsdddajwche?pid=MOBFAMZB7HFYJUFX&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Mi&lid=LSTMOBFAMZB7HFYJUFXZBMGFE&fm=organic&iid=bd346554-9624-473f-8bf1-6b26aa68ddcb.MOBFAMZB7HFYJUFX.SEARCH","Redmi 6A (Rose Gold, 32 GB)  (2 GB RAM)","₹7,785","15 Jan, Tuesday","3000 Battery","MobileBazaar","4.7","Rose Gold","2 GB","32 GB","1 Year Manufacturer Warranty","4.3","null","null","null","null","All 222 reviews","https://www.flipkart.com/redmi-6a-rose-gold-32-gb/product-reviews/itmf9hsdddajwche?pid=MOBFAMZB7HFYJUFX"
