,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,review_link,brand,no._of_reviews,positive_reviews_score,negative_reviews_score,total_reviews_score
0,https://www.flipkart.com/honor-8/p/itmeuydakfewgvk3?pid=MOBEM38ENZEBZFY5&srno=b_2_40&otracker=CLP_filters&lid=LSTMOBEM38ENZEBZFY5FKD5ZX&fm=organic&iid=fb680797-c5ce-4c90-a716-e025b7298e64.MOBEM38ENZEBZFY5.SEARCH,Honor 8  (4 GB RAM),"?29,999",4-6 days,3000 Li-Polymer Battery,SuperComNet,4.5,Sapphire Blue,4 GB,32 GB,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",4.4,4.8,3.8,4.8,4.5,https://www.flipkart.com/honor-8/product-reviews/itmeuydakfewgvk3?pid=MOBEM38ENZEBZFY5,honor,708,650,350,300
1,https://www.flipkart.com/honor-8x-blue-128-gb/p/itmfbj6gcgxukj5n?pid=MOBFBGVVAGETC72X&srno=b_2_31&otracker=CLP_filters&lid=LSTMOBFBGVVAGETC72XHHMY2N&fm=organic&iid=796828d8-468a-43c4-b861-daf8ad9e6595.MOBFBGVVAGETC72X.SEARCH,"Honor 8X (Blue, 128 GB)  (6 GB RAM)","?19,490","13 Jan, Sunday",3750 Battery,VTMSLP,3.9,Blue,6 GB,128 GB,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries and 3 months for Data/USB cable from the date of purchase,4.5,null,null,null,null,,honor,0,780,220,560
2,https://www.flipkart.com/honor-8-lite-black-64-gb/p/itmeuhgt3yjedxv2?pid=MOBEUHGTSXWJUCNZ&srno=b_2_34&otracker=CLP_filters&lid=LSTMOBEUHGTSXWJUCNZDNZS9X&fm=organic&iid=20115be6-0d29-4d55-94a5-bcb402b31f10.MOBEUHGTSXWJUCNZ.SEARCH,"Honor 8 Lite (Black, 64 GB)  (4 GB RAM)","?11,999",4-6 days,3000 Battery,RECOM,4.1,Black,4 GB,64 GB,"15 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",4.2,3.8,3.9,3.1,4.5,https://www.flipkart.com/honor-8-lite-black-64-gb/product-reviews/itmeuhgt3yjedxv2?pid=MOBEUHGTSXWJUCNZ,honor,959,730,270,460
3,https://www.flipkart.com/honor-holly-2-plus-gold-16-gb/p/itmeuyd9agepadpb?pid=MOBEEVDZZEXAA2GA&srno=b_2_44&otracker=CLP_filters&lid=LSTMOBEEVDZZEXAA2GA4ILK5P&fm=organic&iid=e19d19e0-e026-47b4-ba59-06ee8a5c112d.MOBEEVDZZEXAA2GA.SEARCH,"Honor Holly 2 Plus (Gold, 16 GB)  (2 GB RAM)","?8,300","2 Days, Friday",4000 Li-Polymer Battery,Asthatraders32,2.8,Gold,2 GB,16 GB,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",4.0,3.8,4.7,2.3,4.5,https://www.flipkart.com/honor-holly-2-plus-gold-16-gb/product-reviews/itmeuyd9agepadpb?pid=MOBEEVDZZEXAA2GA,honor,3875,870,130,740
4,https://www.flipkart.com/honor-8-pro-midnight-black-128-gb/p/itmeymafrghbjcpf?pid=MOBEWXHMVYBBMZGJ&srno=b_3_64&otracker=CLP_filters&lid=LSTMOBEWXHMVYBBMZGJPPVISJ&fm=organic&iid=a0352f4c-f8d3-4e4c-83bc-e717901b82a7.MOBEWXHMVYBBMZGJ.SEARCH,"Honor 8 Pro (Midnight Black, 128 GB)  (6 GB RAM)","?29,999",null,4000 Battery,null,null,Midnight Black,6 GB,128 GB,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",4.4,4.3,4.2,4.6,4.6,https://www.flipkart.com/honor-8-pro-midnight-black-128-gb/product-reviews/itmeymafrghbjcpf?pid=MOBEWXHMVYBBMZGJ,honor,2582,600,400,200
5,https://www.flipkart.com/honor-9n-robin-egg-blue-64-gb/p/itmf9pgsehv6nmss?pid=MOBF8D8UNGY2HKKP&srno=b_1_11&otracker=CLP_filters&lid=LSTMOBF8D8UNGY2HKKPR77GQX&fm=organic&iid=2003a021-f0fa-4605-b6d2-2e98543a1985.MOBF8D8UNGY2HKKP.SEARCH,"Honor 9N (Robin Egg Blue, 64 GB)  (4 GB RAM)","?11,999","2 Days, Friday",3000 Battery,IndiFlashMart,4.7,Robin Egg Blue,4 GB,64 GB,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",4.3,3.8,2.5,4.4,4.6,https://www.flipkart.com/honor-9n-robin-egg-blue-64-gb/product-reviews/itmf9pgsehv6nmss?pid=MOBF8D8UNGY2HKKP,honor,10418,870,130,740
6,https://www.flipkart.com/honor-holly-3-gold-16-gb/p/itmf4238mhnvbtyu?pid=MOBEMK73UE5QRDTX&srno=b_2_36&otracker=CLP_filters&lid=LSTMOBEMK73UE5QRDTXLMAE4A&fm=organic&iid=fb6ed998-00cf-4b54-b159-3d8d486b631e.MOBEMK73UE5QRDTX.SEARCH,"Honor Holly 3 (Gold, 16 GB)  (2 GB RAM)","?6,050",3-4 days,3000 Li-Polymer Battery,MobiPedia,3.8,Gold,2 GB,16 GB,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",4.0,4.2,3.2,3.8,4.7,https://www.flipkart.com/honor-holly-3-gold-16-gb/product-reviews/itmf4238mhnvbtyu?pid=MOBEMK73UE5QRDTX,honor,1339,770,230,540
7,https://www.flipkart.com/honor-view-10-midnight-black-128-gb/p/itmf7ujythhuzefs?pid=MOBF7TZ5R3FN29ZV&srno=b_3_63&otracker=CLP_filters&lid=LSTMOBF7TZ5R3FN29ZVFNZ4K7&fm=organic&iid=779eb9b4-c844-4c75-89c0-afd42467b360.MOBF7TZ5R3FN29ZV.SEARCH,"Honor View 10 (Midnight Black, 128 GB)  (6 GB RAM)","?27,299",null,3750 Battery,null,null,Midnight Black,6 GB,128 GB,1 Year Manufacturer Warranty,4.3,null,null,null,null,,honor,0,980,20,960
8,https://www.flipkart.com/honor-play-navy-blue-64-gb/p/itmf9p9hzjzgcsg7?pid=MOBF8SSD7N59GG4Q&srno=b_1_20&otracker=CLP_filters&lid=LSTMOBF8SSD7N59GG4QAUN2M4&fm=organic&iid=28252ff8-4f82-490c-adad-03c9809d146d.MOBF8SSD7N59GG4Q.SEARCH,"Honor Play (Navy Blue, 64 GB)  (6 GB RAM)","?23,890",3-4 days,3750 Battery,WSETAIL,4.2,Navy Blue,6 GB,64 GB,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5,null,null,null,null,https://www.flipkart.com/honor-play-navy-blue-64-gb/product-reviews/itmf9p9hzjzgcsg7?pid=MOBF8SSD7N59GG4Q,honor,19,620,380,240
9,https://www.flipkart.com/honor-bee-4g-black-8-gb/p/itmeuycsgyz7sj2u?pid=MOBFY5Y9T2GBBATM&srno=b_2_46&otracker=CLP_filters&lid=LSTMOBFY5Y9T2GBBATMGLXWYO&fm=organic&iid=52773f64-c916-4032-b199-2d3604ef17b8.MOBFY5Y9T2GBBATM.SEARCH,"Honor Bee 4G (Black, 8 GB)  (1 GB RAM)","?6,000",6-7 days,2200 Battery,shruti group,3.6,Black,1 GB,8 GB,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",3.8,null,null,null,null,https://www.flipkart.com/honor-bee-4g-black-8-gb/product-reviews/itmeuycsgyz7sj2u?pid=MOBFY5Y9T2GBBATM,honor,52,680,320,360
