web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,product_review_link,product_review_link-href
"1546972653-482","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=2","ON OFFEROut Of StockAdd to CompareVivo V9 (Gold, 64 GB)4.477,235 Ratings & 8,797 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) Full HD+ Display16MP + 5MP | 24MP Front Camera3260 Li-ion BatteryQualcomm Snapdragon 626 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹15,990₹23,99033% offUp to ₹14,900 Off on ExchangeEMI starting from ₹532/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/vivo-v9-gold-64-gb/p/itmf3tfnpgcm6zkr?pid=MOBF3J4HE3GZY8YF&srno=b_2_40&otracker=browse&lid=LSTMOBF3J4HE3GZY8YF8LFJBP&fm=organic&iid=c0a3475c-8f53-4037-816e-87ba93fdb06c.MOBF3J4HE3GZY8YF.SEARCH","Vivo V9 (Gold, 64 GB)  (4 GB RAM)","₹15,990","null","3260 Li-ion Battery","null","null","Gold","4 GB","64 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.4","4.3","3.0","4.4","4.3","All 8797 reviews","https://www.flipkart.com/vivo-v9-gold-64-gb/product-reviews/itmf3tfnpgcm6zkr?pid=MOBF3J4HE3GZY8YF"
"1546972953-519","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=1","ON OFFERAdd to CompareVivo Y83 Pro (Nebula Purple, 64 GB)4.32,214 Ratings & 190 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP + 2MP | 8MP Front Camera3260 Li-ion BatteryMediatek Helio P22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹13,990₹16,99017% offUp to ₹13,000 Off on ExchangeEMI starting from ₹465/monthOffersSpecial PriceBank Offer","https://www.flipkart.com/vivo-y83-pro-nebula-purple-64-gb/p/itmf96hj5gwbhkmq?pid=MOBF96HJQFRP422J&srno=b_1_3&otracker=browse&lid=LSTMOBF96HJQFRP422JSQRQGH&fm=organic&iid=745e05a4-3331-40e3-8c9a-b12c5b809a04.MOBF96HJQFRP422J.SEARCH","Vivo Y83 Pro (Nebula Purple, 64 GB)  (4 GB RAM)","₹13,990","Tomorrow, Thursday","3260 Li-ion Battery","Flashtech Retail","4.9","Nebula Purple","4 GB","64 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.3","null","null","null","null","All 190 reviews","https://www.flipkart.com/vivo-y83-pro-nebula-purple-64-gb/product-reviews/itmf96hj5gwbhkmq?pid=MOBF96HJQFRP422J"
"1546972790-494","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=2","ON OFFERAdd to CompareVivo Y93 (Starry Black, 32 GB)4.327 Ratings & 5 Reviews4 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP + 2MP | 8MP Front Camera4030 Li-ion BatteryMediaTek Helio P22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹13,990₹15,99012% offUp to ₹13,000 Off on ExchangeEMI starting from ₹465/monthOffersNo Cost EMISpecial PriceBank Offer","https://www.flipkart.com/vivo-y93-starry-black-32-gb/p/itmfbykscgqzptyz?pid=MOBFBYKSNFY7PCRK&srno=b_2_28&otracker=browse&lid=LSTMOBFBYKSNFY7PCRKVSC4BO&fm=organic&iid=a20f1b30-2b39-46cd-9328-79ab286ca2f3.MOBFBYKSNFY7PCRK.SEARCH","Vivo Y93 (Starry Black, 32 GB)  (4 GB RAM)","₹13,990","2 Days, Friday","4030 Li-ion Battery","Flashtech Retail","4.9","Starry Black","4 GB","32 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.3","null","null","null","null","All 5 reviews","https://www.flipkart.com/vivo-y93-starry-black-32-gb/product-reviews/itmfbykscgqzptyz?pid=MOBFBYKSNFY7PCRK"
"1546972824-498","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=1","ON OFFERAdd to CompareVivo Y83 (Black, 32 GB)4.38,575 Ratings & 1,100 Reviews4 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP Rear Camera | 8MP Front Camera3260 Li-ion BatteryMediatek Helio P22 ProcessorBrand Warranty of 1 Year Available for Mobile₹13,990₹15,99012% offUp to ₹13,000 Off on ExchangeEMI starting from ₹465/monthOffersSpecial Price","https://www.flipkart.com/vivo-y83-black-32-gb/p/itmf5q2fdvzcr4wr?pid=MOBF5Q2FN6ZCBXMS&srno=b_1_24&otracker=browse&lid=LSTMOBF5Q2FN6ZCBXMSCIFY1D&fm=organic&iid=450411e9-f5b9-4ffe-8701-5bce81a1805d.MOBF5Q2FN6ZCBXMS.SEARCH","Vivo Y83 (Black, 32 GB)  (4 GB RAM)","₹13,990","Tomorrow, Thursday","3260 Li-ion Battery","Flashtech Retail","4.9","Black","4 GB","32 GB","Brand Warranty of 1 Year Available for Mobile","4.3","2.7","4.2","4.2","4.1","All 1100 reviews","https://www.flipkart.com/vivo-y83-black-32-gb/product-reviews/itmf5q2fdvzcr4wr?pid=MOBF5Q2FN6ZCBXMS"
"1546972852-502","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=1","ON OFFERAdd to CompareVivo V7+ (Matte Black, 64 GB)4.415,964 Ratings & 2,711 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) HD Display16MP Rear Camera | 24MP Front Camera3225 Li-ion BatteryQualcomm Snapdragon 450 Octa Core 1.8 GHz ProcessorAndroid Nougat 7.1Fingerprint SensorFullview (18:9) DisplayDedicated SD Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹19,990₹21,9909% offUp to ₹14,900 Off on ExchangeEMI starting from ₹664/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/vivo-v7-matte-black-64-gb/p/itmffy7tqqgyvgdv?pid=MOBEX3YCVHTZT9KA&srno=b_1_20&otracker=browse&lid=LSTMOBEX3YCVHTZT9KAXKAIN2&fm=organic&iid=1de2adce-b335-4ba3-b24b-95834170cbb1.MOBEX3YCVHTZT9KA.SEARCH","Vivo V7+ (Matte Black, 64 GB)  (4 GB RAM)","₹19,990","2 Days, Friday","3225 Li-ion Battery","Flashtech Retail","4.9","Matte Black","4 GB","64 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.4","4.3","4.4","4.2","3.8","All 2711 reviews","https://www.flipkart.com/vivo-v7-matte-black-64-gb/product-reviews/itmffy7tqqgyvgdv?pid=MOBEX3YCVHTZT9KA"
"1546972880-506","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=1","ON OFFERAdd to CompareVivo V9 Youth (Black, 32 GB)4.421,185 Ratings & 2,495 Reviews4 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 2MP | 16MP Front Camera3260 Li-ion BatteryQualcomm Snapdragon 450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹13,990₹19,99030% offUp to ₹13,000 Off on ExchangeEMI starting from ₹465/monthOffersNo Cost EMISpecial PriceBank Offer","https://www.flipkart.com/vivo-v9-youth-black-32-gb/p/itmf4d94cemugsug?pid=MOBF4D93ZUP926YK&srno=b_1_16&otracker=browse&lid=LSTMOBF4D93ZUP926YKCNBZXE&fm=organic&iid=3b16f0c1-70da-4f7b-a64c-ae41733b5d9a.MOBF4D93ZUP926YK.SEARCH","Vivo V9 Youth (Black, 32 GB)  (4 GB RAM)","₹13,990","Tomorrow, Thursday","3260 Li-ion Battery","Flashtech Retail","4.9","Black","4 GB","32 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.4","4.2","3.5","4.5","4.3","All 2495 reviews","https://www.flipkart.com/vivo-v9-youth-black-32-gb/product-reviews/itmf4d94cemugsug?pid=MOBF4D93ZUP926YK"
"1546972773-491","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=2","Add to CompareVivo V7+ (Energetic Blue, 64 GB)4.415,964 Ratings & 2,711 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) HD Display16MP Rear Camera | 24MP Front Camera3225 Li-ion BatteryQualcomm Snapdragon 450 Octa Core 1.8 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹16,500EMI starting from ₹549/month","https://www.flipkart.com/vivo-v7-energetic-blue-64-gb/p/itmffy7tqqgyvgdv?pid=MOBEZ7GFYJ9KU9ME&srno=b_2_31&otracker=browse&lid=LSTMOBEZ7GFYJ9KU9MENGLIMT&fm=organic&iid=c0f5e571-2b76-423d-8bce-c610356557b7.MOBEZ7GFYJ9KU9ME.SEARCH","Vivo V7+ (Energetic Blue, 64 GB)  (4 GB RAM)","₹16,500","5-6 days","3225 Li-ion Battery","KPINTERNATIONAL","2.5","Energetic Blue","4 GB","64 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.4","4.3","4.4","4.2","3.8","All 2711 reviews","https://www.flipkart.com/vivo-v7-energetic-blue-64-gb/product-reviews/itmffy7tqqgyvgdv?pid=MOBEZ7GFYJ9KU9ME"
"1546972758-489","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=2","Add to CompareVivo V5 (Crown gold, 32 GB)4.27,239 Ratings & 1,303 Reviews4 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera | 20MP Front Camera3000 BatteryMediaTek MT6750 64-bit Octa Core 1.5GHz Processor1 Year₹11,990EMI starting from ₹399/month","https://www.flipkart.com/vivo-v5-crown-gold-32-gb/p/itmes3r78cv5ensa?pid=MOBEZZKYXJKGQZQY&srno=b_2_33&otracker=browse&lid=LSTMOBEZZKYXJKGQZQY1V8VIO&fm=organic&iid=be59fda3-ca0b-4e6f-a167-a43fa4725ce4.MOBEZZKYXJKGQZQY.SEARCH","Vivo V5 (Crown gold, 32 GB)  (4 GB RAM)","₹11,990","3-4 days","3000 Battery","BESTDEALSONIYA","2.7","Crown gold","4 GB","32 GB","1 Year","4.2","4.6","3.5","4.2","4.2","All 1303 reviews","https://www.flipkart.com/vivo-v5-crown-gold-32-gb/product-reviews/itmes3r78cv5ensa?pid=MOBEZZKYXJKGQZQY"
"1546972779-492","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=2","ON OFFERAdd to CompareVivo X21 (Black, 128 GB)4.31,339 Ratings & 235 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 256 GB15.95 cm (6.28 inch) FHD+ Display2x12MP (Dual Pixel Sensor) + 5MP | 2x12MP (Dual Pixel Sensor) Front Camera3200 Li-ion BatteryQualcomm Snapdragon 660 AIE ProcessorIn-Display Fingerprint ScannerBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹26,990₹36,99027% offUp to ₹14,900 Off on ExchangeEMI starting from ₹897/monthOffersSpecial Price","https://www.flipkart.com/vivo-x21-black-128-gb/p/itmf5g4jncexzfgt?pid=MOBF5G4JFCYRDQZB&srno=b_2_30&otracker=browse&lid=LSTMOBF5G4JFCYRDQZBEKRZES&fm=organic&iid=b93b084a-3504-4025-a50a-baddf3a87ba9.MOBF5G4JFCYRDQZB.SEARCH","Vivo X21 (Black, 128 GB)  (6 GB RAM)","₹26,990","2 Days, Friday","3200 Li-ion Battery","Flashtech Retail","4.9","Black","6 GB","128 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.3","4.5","3.4","4.6","3.3","All 235 reviews","https://www.flipkart.com/vivo-x21-black-128-gb/product-reviews/itmf5g4jncexzfgt?pid=MOBF5G4JFCYRDQZB"
"1546972747-488","https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DVivo&wid=1.productCard.PMU_V2&page=2","Add to CompareVivo Y66 (Crown Gold, 32 GB)4.24,209 Ratings & 738 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera | 16MP Front Camera3000 Li-Ion BatteryMediaTek MT6750 64-bit Octa Core 1.5GHz ProcessorBrand Warranty of 1 Year₹14,990Up to ₹14,900 Off on ExchangeEMI starting from ₹498/monthOffersNo Cost EMI","https://www.flipkart.com/vivo-y66-crown-gold-32-gb/p/itmeuyd9j4h8accx?pid=MOBESCUYBUBHDG8U&srno=b_2_34&otracker=browse&lid=LSTMOBESCUYBUBHDG8UO69XVG&fm=organic&iid=07a8ccb5-bba4-4d6d-81ea-a2772e880ad8.MOBESCUYBUBHDG8U.SEARCH","Vivo Y66 (Crown Gold, 32 GB)  (3 GB RAM)","₹14,990","12 Jan, Saturday","3000 Li-Ion Battery","Flashtech Retail","4.9","Crown Gold","3 GB","32 GB","Brand Warranty of 1 Year","4.2","4.3","3.4","4.4","4.6","All 738 reviews","https://www.flipkart.com/vivo-y66-crown-gold-32-gb/product-reviews/itmeuyd9j4h8accx?pid=MOBESCUYBUBHDG8U"
